,Real_values,predicted_value
0,368.1,376.94122
1,369.71,376.72833
2,376.1,377.10318
3,380.59,379.19293
4,377.85,381.76334
5,378.89,383.43658
6,378.69,384.6999
7,380.59,385.875
8,376.72,386.66318
9,378.34,386.02872
10,381.11,386.0324
11,384.49,387.2732
12,382.25,388.75842
13,383.67,389.48227
14,385.41,390.0549
15,380.22,390.863
16,376.36,388.72623
17,375.63,387.17694
18,373.72,383.89798
19,379.65,381.88568
20,382.435,382.04233
21,382.96,382.9649
22,388.2,384.81613
23,389.27,387.56818
24,389.61,390.75464
25,392.12,393.5925
26,391.24,396.00705
27,389.85,397.93817
28,393.96,399.67368
29,390.42,401.29843
30,389.59,401.95724
31,392.07,401.76938
32,387.06,401.5431
33,384.66,400.0404
34,386.33,397.91748
35,390.41,397.15674
36,384.35,395.13193
37,385.59,392.25723
38,389.82,391.53952
39,385.79,391.37994
40,381.22,389.98163
41,380.46,387.13492
42,384.66,385.78265
43,385.85,385.6307
44,389.69,386.6934
45,392.23,389.02713
46,392.07,392.40298
47,394.33,395.4458
48,397.07,398.6942
49,394.53,401.7735
50,394.475,404.1067
51,389.88,404.7886
52,390.03,404.03632
53,391.91,403.7384
54,391.0,402.80142
55,385.98,401.31924
56,390.93,399.495
57,394.4,399.74997
58,394.42,400.45712
59,395.34,400.96527
60,398.4,401.98117
61,403.46,403.99734
62,405.76,407.51132
