Date,Open,High,Low,Close,Adj Close,Volume
2018-06-15,17.000000,22.180000,17.000000,21.000000,21.000000,4202500
2018-06-18,23.639999,29.350000,21.549999,28.799999,28.799999,2910800
2018-06-19,30.180000,35.000000,28.040001,30.000000,30.000000,3832400
2018-06-20,32.500000,32.700001,25.000000,26.110001,26.110001,2461500
2018-06-21,25.070000,25.940001,21.260000,21.360001,21.360001,1661000
2018-06-22,23.299999,23.299999,18.750000,18.750000,18.750000,1698900
2018-06-25,18.240000,20.740000,18.200001,20.430000,20.430000,1474700
2018-06-26,21.580000,22.879000,21.230000,22.620001,22.620001,1109700
2018-06-27,23.500000,23.700001,20.691000,20.820000,20.820000,1286400
2018-06-28,20.940001,21.500000,20.160000,21.230000,21.230000,371800
2018-06-29,22.059999,22.070000,21.028999,21.400000,21.400000,271600
2018-07-02,21.230000,21.297001,20.330000,20.610001,20.610001,140300
2018-07-03,20.610001,20.610001,19.799999,20.020000,20.020000,164300
2018-07-05,19.799999,20.000000,18.980000,19.010000,19.010000,474700
2018-07-06,18.700001,19.480000,18.700001,19.040001,19.040001,202600
2018-07-09,19.240000,19.440001,18.889999,18.959999,18.959999,213500
2018-07-10,19.139999,19.649000,18.750000,19.500000,19.500000,591800
2018-07-11,19.280001,19.740000,19.000000,19.010000,19.010000,222600
2018-07-12,19.049999,20.969999,19.049999,20.230000,20.230000,567000
2018-07-13,20.600000,20.681999,19.365999,20.240000,20.240000,181500
2018-07-16,20.200001,20.427999,18.920000,19.030001,19.030001,398700
2018-07-17,19.000000,19.600000,19.000000,19.020000,19.020000,202900
2018-07-18,19.020000,19.499001,18.910000,19.139999,19.139999,119800
2018-07-19,19.190001,19.400000,18.879999,19.080000,19.080000,141200
2018-07-20,19.100000,19.290001,18.450001,18.930000,18.930000,221800
2018-07-23,19.090000,19.090000,18.520000,19.000000,19.000000,111300
2018-07-24,19.010000,19.530001,18.900000,19.389999,19.389999,136900
2018-07-25,19.250000,19.930000,19.250000,19.850000,19.850000,127100
2018-07-26,19.320000,19.840000,18.809999,19.000000,19.000000,223700
2018-07-27,18.900000,19.070000,18.650000,18.930000,18.930000,118700
2018-07-30,18.920000,19.330000,18.530001,18.629999,18.629999,117700
2018-07-31,18.620001,18.620001,16.780001,16.780001,16.780001,237800
2018-08-01,16.719999,17.459999,16.384001,17.000000,17.000000,118400
2018-08-02,16.940001,16.940001,15.860000,16.430000,16.430000,164300
2018-08-03,16.440001,16.440001,15.713000,16.030001,16.030001,162000
2018-08-06,16.030001,16.170000,15.700000,15.800000,15.800000,61300
2018-08-07,15.740000,16.430000,15.651000,16.240000,16.240000,49700
2018-08-08,16.240000,16.700001,15.720000,15.760000,15.760000,66400
2018-08-09,15.880000,16.120001,15.560000,15.700000,15.700000,58700
2018-08-10,15.870000,15.928000,15.320000,15.480000,15.480000,82500
2018-08-13,14.280000,15.390000,14.121000,15.250000,15.250000,164000
2018-08-14,15.160000,15.210000,14.660000,14.670000,14.670000,107200
2018-08-15,14.370000,14.660000,13.850000,13.860000,13.860000,141100
2018-08-16,13.890000,14.870000,13.890000,14.180000,14.180000,195600
2018-08-17,14.190000,14.820000,13.870000,14.150000,14.150000,63400
2018-08-20,14.150000,14.820000,14.040000,14.070000,14.070000,345600
2018-08-21,14.410000,14.600000,12.640000,13.000000,13.000000,779800
2018-08-22,13.050000,16.150000,13.050000,15.900000,15.900000,623300
2018-08-23,14.350000,14.977000,14.010000,14.500000,14.500000,234900
2018-08-24,14.300000,14.565000,14.258000,14.500000,14.500000,148000
2018-08-27,14.520000,14.596000,13.770000,13.920000,13.920000,195500
2018-08-28,13.900000,14.160000,13.780000,14.000000,14.000000,120900
2018-08-29,13.950000,14.026000,13.150000,13.200000,13.200000,144100
2018-08-30,13.300000,13.500000,12.940000,13.010000,13.010000,24500
2018-08-31,13.000000,13.100000,12.850000,13.050000,13.050000,36900
2018-09-04,12.950000,12.950000,12.460000,12.480000,12.480000,52800
2018-09-05,12.510000,12.560000,12.200000,12.210000,12.210000,89200
2018-09-06,12.210000,12.210000,11.750000,11.750000,11.750000,66000
2018-09-07,11.540000,11.990000,11.540000,11.600000,11.600000,30500
2018-09-10,11.840000,11.840000,10.983000,11.020000,11.020000,99700
2018-09-11,11.000000,11.000000,10.340000,10.340000,10.340000,79900
2018-09-12,10.270000,10.677000,9.940000,10.200000,10.200000,190600
2018-09-13,9.740000,10.680000,9.740000,9.990000,9.990000,311300
2018-09-14,10.000000,10.050000,9.700000,9.750000,9.750000,112500
2018-09-17,9.770000,9.770000,9.030000,9.030000,9.030000,98000
2018-09-18,9.100000,9.110000,8.210000,8.300000,8.300000,140800
2018-09-19,8.280000,8.400000,7.530000,7.530000,7.530000,199600
2018-09-20,7.500000,8.830000,7.427000,8.310000,8.310000,289100
2018-09-21,8.500000,9.316000,8.500000,9.100000,9.100000,161100
2018-09-24,8.930000,9.640000,8.900000,9.360000,9.360000,98200
2018-09-25,9.420000,9.504000,8.450000,8.590000,8.590000,96400
2018-09-26,8.670000,8.777000,8.050000,8.250000,8.250000,123600
2018-09-27,8.280000,9.380000,8.230000,8.720000,8.720000,149900
2018-09-28,8.720000,9.200000,8.550000,8.740000,8.740000,85900
