Date,Open,High,Low,Close,Adj Close,Volume
2017-06-22,19.000000,19.190001,18.500000,19.000000,17.420956,3224300
2017-06-23,19.000000,19.450001,18.900000,19.290001,17.686857,711600
2017-06-26,19.280001,19.336000,19.020000,19.250000,17.650181,458200
2017-06-27,19.180000,19.350000,19.100000,19.150000,17.558487,245100
2017-06-28,19.200001,19.299999,19.120001,19.250000,17.650181,184000
2017-06-29,19.139999,19.450001,19.100000,19.250000,17.650181,343700
2017-06-30,19.129999,19.350000,18.320000,19.150000,17.558487,453900
2017-07-03,19.200001,19.250000,19.150000,19.250000,17.650181,33400
2017-07-05,19.290001,19.450001,19.200001,19.400000,17.787710,83700
2017-07-06,19.400000,19.450001,19.000000,19.360001,17.751040,150300
2017-07-07,19.270000,19.500000,19.250000,19.410000,17.796883,137700
2017-07-10,19.500000,19.500000,19.299999,19.410000,17.796883,98900
2017-07-11,19.370001,19.600000,19.120001,19.540001,17.916080,188800
2017-07-12,19.600000,19.660000,19.360001,19.500000,17.879408,86500
2017-07-13,19.590000,19.590000,19.500000,19.540001,17.916080,43900
2017-07-14,19.670000,19.700001,19.459999,19.690001,18.053612,91500
2017-07-17,19.620001,19.750000,19.500000,19.639999,18.007767,118700
2017-07-18,19.400000,19.670000,19.000000,19.610001,17.980261,198000
2017-07-19,19.530001,19.670000,19.430000,19.500000,17.879408,81200
2017-07-20,19.209999,19.780001,19.120001,19.750000,18.108627,296100
2017-07-21,19.700001,20.000000,19.469999,19.850000,18.200315,577000
2017-07-24,19.690001,19.819000,19.180000,19.230000,17.631842,122400
2017-07-25,19.120001,19.270000,18.990000,18.990000,17.411785,192700
2017-07-26,18.980000,19.100000,18.799999,18.840000,17.274254,121000
2017-07-27,18.750000,19.000000,18.020000,18.309999,16.788296,254600
2017-07-28,18.110001,18.830000,18.100000,18.250000,16.733288,165400
2017-07-31,18.299999,18.915001,18.299999,18.600000,17.054201,140500
2017-08-01,18.450001,18.700001,18.180000,18.480000,16.944172,164800
2017-08-02,18.340000,18.879999,18.230000,18.500000,16.962509,115100
2017-08-03,18.650000,19.230000,18.559999,18.780001,17.219244,108000
2017-08-04,18.650000,18.940001,18.520000,18.610001,17.063368,97800
2017-08-07,18.629999,19.040001,18.400000,18.969999,17.393454,124200
2017-08-08,19.000000,19.110001,18.590000,18.920000,17.347605,146400
2017-08-09,18.730000,19.030001,18.600000,18.719999,17.164227,174400
2017-08-10,18.870001,19.129999,18.790001,18.900000,17.329269,182400
2017-08-11,18.750000,19.129999,18.709999,18.830000,17.265083,126100
2017-08-14,18.910000,19.490000,18.850000,19.000000,17.420956,103600
2017-08-15,18.860001,19.480000,18.820000,19.200001,17.604334,92700
2017-08-16,19.250000,19.580000,19.230000,19.410000,17.796883,99700
2017-08-17,19.570000,19.730000,19.400000,19.590000,17.961926,60900
2017-08-18,19.410000,19.750000,19.410000,19.600000,17.971096,54200
2017-08-21,19.620001,19.660000,19.170000,19.420000,17.806053,90300
2017-08-22,19.350000,19.530001,19.150000,19.170000,17.576828,113600
2017-08-23,19.299999,19.540001,19.052000,19.280001,17.677689,108500
2017-08-24,19.389999,19.530001,19.177000,19.320000,17.714357,90400
2017-08-25,19.520000,19.660000,19.330000,19.370001,17.760208,98000
2017-08-28,19.320000,19.670000,19.320000,19.590000,17.961926,101300
2017-08-29,19.540001,19.690001,19.400000,19.590000,17.961926,74300
2017-08-30,19.650000,19.730000,19.299999,19.650000,18.016939,71300
2017-08-31,19.520000,19.850000,19.490000,19.650000,18.016939,190100
2017-09-01,19.600000,19.840000,19.570000,19.629999,17.998600,161000
2017-09-05,19.790001,19.809999,19.365000,19.730000,18.090288,248300
2017-09-06,19.715000,19.818001,19.549999,19.780001,18.136133,195500
2017-09-07,19.650000,19.700001,19.250000,19.400000,17.787710,144400
2017-09-08,19.350000,19.660000,19.320000,19.450001,17.833561,132700
2017-09-11,19.549999,19.670000,19.330000,19.580000,17.952751,88700
2017-09-12,19.650000,19.740000,19.459999,19.670000,18.035276,109900
2017-09-13,19.590000,19.740000,19.402000,19.440001,17.824392,153800
2017-09-14,19.280001,19.660000,19.280001,19.600000,17.971096,177300
2017-09-15,19.629999,19.639999,19.209999,19.240000,17.641008,1251500
2017-09-18,19.139999,19.360001,19.110001,19.139999,17.549326,199000
2017-09-19,19.190001,19.410000,19.040001,19.400000,17.787710,348700
2017-09-20,19.420000,19.420000,19.000000,19.270000,17.668520,238000
2017-09-21,19.299999,19.549999,19.240000,19.270000,17.668520,148000
2017-09-22,19.230000,19.440001,19.059999,19.100000,17.512644,112500
2017-09-25,19.139999,19.350000,18.610001,18.770000,17.210075,132400
2017-09-26,18.879999,18.900000,18.549999,18.730000,17.173397,167700
2017-09-27,18.750000,18.889999,18.660000,18.719999,17.164227,149600
2017-09-28,18.670000,18.670000,18.260000,18.330000,16.806641,263300
2017-09-29,18.150000,18.660000,18.150000,18.639999,17.238523,132200
2017-10-02,18.750000,18.840000,18.510000,18.780001,17.368002,97200
2017-10-03,18.750000,18.920000,18.650000,18.750000,17.340256,63700
