Date,Open,High,Low,Close,Adj Close,Volume
2016-07-11,8.940000,9.100000,8.930000,9.030000,7.884128,2103300
2016-07-12,9.160000,9.240000,9.050000,9.050000,7.901589,2423300
2016-07-13,9.050000,9.170000,9.030000,9.130000,7.971439,2152600
2016-07-14,9.280000,9.370000,9.220000,9.260000,8.084942,3317900
2016-07-15,9.170000,9.170000,8.890000,8.960000,7.823010,1338200
2016-07-18,8.880000,9.070000,8.880000,9.030000,7.884128,1302900
2016-07-19,9.030000,9.160000,9.000000,9.140000,7.980169,1083600
2016-07-20,9.100000,9.210000,9.050000,9.190000,8.023823,1207200
2016-07-21,9.140000,9.190000,9.080000,9.160000,7.997631,1175000
2016-07-22,9.200000,9.600000,9.150000,9.590000,8.373066,4923200
2016-07-25,9.500000,9.520000,9.390000,9.480000,8.277024,5544600
2016-07-26,9.480000,9.510000,9.350000,9.390000,8.198445,3328700
2016-07-27,9.380000,9.440000,9.250000,9.320000,8.137328,1467500
2016-07-28,9.360000,9.390000,9.260000,9.280000,8.102403,4480100
2016-07-29,9.330000,9.460000,9.190000,9.440000,8.242100,1612500
2016-08-01,9.300000,9.300000,9.000000,9.050000,7.901589,3332900
2016-08-02,9.040000,9.060000,8.700000,8.780000,7.665852,2789300
2016-08-03,8.560000,8.940000,8.530000,8.910000,7.779355,2039400
2016-08-04,8.930000,9.190000,8.880000,9.160000,7.997631,2197800
2016-08-05,9.360000,9.410000,9.200000,9.380000,8.189714,2590100
2016-08-08,9.200000,9.320000,9.010000,9.180000,8.015094,2547300
2016-08-09,9.140000,9.290000,9.130000,9.220000,8.050017,2002200
2016-08-10,9.270000,9.380000,9.240000,9.310000,8.128596,1681100
2016-08-11,9.220000,9.490000,9.210000,9.480000,8.277024,1487500
2016-08-12,9.390000,9.480000,9.120000,9.170000,8.006362,1967500
2016-08-15,9.380000,9.490000,9.150000,9.440000,8.242100,2520600
2016-08-16,9.620000,9.700000,9.320000,9.320000,8.137328,1921200
2016-08-17,9.250000,9.330000,9.030000,9.270000,8.093673,2426900
2016-08-18,9.300000,9.310000,9.120000,9.220000,8.050017,1375200
2016-08-19,9.170000,9.190000,9.030000,9.110000,7.953976,762800
2016-08-22,9.050000,9.170000,9.030000,9.060000,7.910321,1023900
2016-08-23,9.090000,9.150000,8.980000,8.980000,7.840472,1170400
2016-08-24,8.900000,9.020000,8.810000,8.980000,7.840472,926500
2016-08-25,8.940000,8.980000,8.870000,8.890000,7.761893,1416600
2016-08-26,8.980000,9.140000,8.710000,8.770000,7.657121,2126400
2016-08-29,8.860000,9.100000,8.850000,9.040000,7.892858,2188400
2016-08-30,8.980000,9.060000,8.790000,8.900000,7.770624,1107200
2016-08-31,9.180000,9.270000,8.960000,9.050000,7.901589,2148700
2016-09-01,9.030000,9.030000,8.830000,8.920000,7.788086,1526500
2016-09-02,9.050000,9.510000,9.050000,9.490000,8.285754,2270500
2016-09-06,9.540000,9.660000,9.440000,9.640000,8.416720,1527600
2016-09-07,9.620000,9.760000,9.590000,9.710000,8.477839,995900
2016-09-08,9.740000,9.830000,9.590000,9.600000,8.381797,1501500
2016-09-09,9.300000,9.330000,8.910000,8.920000,7.788086,2026800
2016-09-12,8.850000,9.290000,8.770000,8.890000,7.761893,4038400
2016-09-13,8.710000,8.850000,8.470000,8.530000,7.447576,2157200
2016-09-14,8.540000,8.730000,8.530000,8.690000,7.587271,1288500
2016-09-15,8.740000,8.990000,8.660000,8.970000,7.831741,1315500
2016-09-16,8.840000,8.950000,8.760000,8.910000,7.779355,4196300
2016-09-19,8.970000,9.050000,8.910000,8.990000,7.849203,1342600
2016-09-20,9.080000,9.090000,8.980000,9.030000,7.884128,989600
2016-09-21,9.160000,9.500000,9.160000,9.480000,8.277024,1512800
2016-09-22,9.600000,9.700000,9.450000,9.550000,8.338141,914600
2016-09-23,9.500000,9.550000,9.340000,9.430000,8.233370,1783800
2016-09-26,9.310000,9.330000,9.190000,9.200000,8.032556,1259200
2016-09-27,9.280000,9.300000,9.120000,9.190000,8.023823,970000
2016-09-28,9.200000,9.570000,9.170000,9.520000,8.311949,1513300
2016-09-29,9.510000,9.610000,9.260000,9.360000,8.172251,2397200
2016-09-30,9.410000,9.450000,9.220000,9.260000,8.084942,1522300
2016-10-03,9.360000,9.600000,9.320000,9.580000,8.364335,1056500
2016-10-04,9.490000,9.510000,9.220000,9.310000,8.128596,1320500
2016-10-05,9.520000,9.600000,9.340000,9.530000,8.320680,1164800
2016-10-06,9.400000,9.540000,9.260000,9.480000,8.277024,2248600
2016-10-07,9.530000,9.590000,9.330000,9.450000,8.250831,1246200
2016-10-10,9.560000,9.650000,9.540000,9.600000,8.381797,1127600
2016-10-11,9.570000,9.610000,9.430000,9.600000,8.381797,1257200
2016-10-12,9.600000,9.640000,9.460000,9.620000,8.399259,943200
2016-10-13,9.650000,9.780000,9.540000,9.700000,8.469107,1159900
2016-10-14,9.820000,9.880000,9.450000,9.510000,8.303218,1586000
2016-10-17,9.520000,9.840000,9.520000,9.720000,8.486569,1119500
2016-10-18,9.820000,9.880000,9.700000,9.840000,8.591342,1208600
2016-10-19,9.860000,10.080000,9.840000,9.980000,8.713575,1704500
2016-10-20,9.900000,10.130000,9.900000,10.110000,8.827079,1145100
2016-10-21,10.000000,10.180000,9.970000,10.120000,8.835811,920800
2016-10-24,10.230000,10.250000,10.090000,10.170000,8.879466,792600
2016-10-25,10.090000,10.360000,10.010000,10.350000,9.036626,1365700
2016-10-26,10.240000,10.530000,10.200000,10.370000,9.054087,1767600
2016-10-27,10.390000,10.430000,10.290000,10.330000,9.019162,957100
2016-10-28,10.290000,10.410000,10.180000,10.250000,8.949314,1631200
2016-10-31,10.350000,10.550000,10.340000,10.520000,9.185053,1337800
2016-11-01,10.520000,10.520000,10.030000,10.090000,8.809617,1592400
2016-11-02,10.070000,10.090000,9.880000,9.970000,8.704845,1107400
2016-11-03,9.970000,10.200000,9.900000,9.980000,8.713575,1522700
2016-11-04,10.000000,10.170000,9.900000,9.950000,8.687383,1106200
2016-11-07,10.290000,10.350000,10.230000,10.340000,9.027893,1617100
2016-11-08,10.260000,10.500000,10.250000,10.460000,9.132667,1262600
