,Date,Low,High,Close,Open
5461,2021-07-16,430.92,436.06,431.34,436.01
5460,2021-07-15,432.72,435.53,434.75,434.81
5459,2021-07-14,434.91,437.92,436.24,437.4
5458,2021-07-13,435.31,437.84,435.59,436.24
5457,2021-07-12,434.97,437.35,437.08,435.43
5456,2021-07-09,430.714,435.84,435.52,432.53
5455,2021-07-08,427.52,431.73,430.92,428.78
5454,2021-07-07,431.51,434.76,434.46,433.66
5453,2021-07-06,430.01,434.01,432.93,433.78
5452,2021-07-02,430.5218,434.1,433.72,431.67
5451,2021-07-01,428.8,430.6,430.43,428.87
5450,2021-06-30,427.18,428.78,428.06,427.21
5449,2021-06-29,427.13,428.56,427.7,427.88
5448,2021-06-28,425.89,427.65,427.47,427.17
5447,2021-06-25,425.55,427.0943,426.61,425.9
5446,2021-06-24,424.62,425.55,425.1,424.89
5445,2021-06-23,422.51,424.05,422.6,423.19
5444,2021-06-22,420.08,424.0,423.11,420.85
5443,2021-06-21,415.93,421.06,420.86,416.8
5442,2021-06-18,414.7,417.8281,414.92,417.09
5441,2021-06-17,419.32,423.02,421.97,421.67
5440,2021-06-16,419.92,424.87,422.11,424.63
5439,2021-06-15,423.54,425.46,424.48,425.42
5438,2021-06-14,423.1,425.37,425.26,424.43
5437,2021-06-11,422.82,424.43,424.31,424.2
5436,2021-06-10,421.55,424.63,423.61,422.96
5435,2021-06-09,421.41,423.26,421.65,423.18
5434,2021-06-08,420.32,423.21,422.28,423.11
5433,2021-06-07,421.19,422.78,422.19,422.59
5432,2021-06-04,418.8422,422.92,422.6,420.75
5431,2021-06-03,416.28,419.99,418.77,417.85
5430,2021-06-02,419.29,421.23,420.33,420.37
5429,2021-06-01,419.2,422.72,419.67,422.57
5428,2021-05-28,419.79,421.25,420.04,420.97
5427,2021-05-27,418.9851,420.72,419.29,420.17
5426,2021-05-26,417.76,419.61,419.07,418.87
5425,2021-05-25,417.62,420.71,418.24,420.33
5424,2021-05-24,417.08,420.32,419.17,417.34
5423,2021-05-21,414.45,418.2,414.94,416.87
5422,2021-05-20,411.67,416.625,415.28,411.8
5421,2021-05-19,405.33,411.05,410.86,406.92
5420,2021-05-18,411.77,416.06,411.94,415.8
5419,2021-05-17,413.36,416.39,415.52,415.39
5418,2021-05-14,413.18,417.49,416.58,413.21
5417,2021-05-13,407.02,412.35,410.28,407.07
5416,2021-05-12,404.0,412.59,405.41,411.23
5415,2021-05-11,410.06,415.27,414.21,413.1
5414,2021-05-10,417.81,422.74,417.94,422.5
5413,2021-05-07,419.16,422.815,422.12,419.89
5412,2021-05-06,413.675,419.21,419.07,415.83
5411,2021-05-05,415.15,417.63,415.75,417.38
5410,2021-05-04,411.67,416.6,415.62,416.07
5409,2021-05-03,417.665,419.84,418.2,419.43
5408,2021-04-30,416.34,418.54,417.3,417.63
5407,2021-04-29,416.44,420.72,420.06,420.32
5406,2021-04-28,416.9,419.01,417.4,417.81
5405,2021-04-27,416.3,418.14,417.52,417.93
5404,2021-04-26,416.8111,418.22,417.61,417.44
5403,2021-04-23,412.79,418.25,416.74,412.87
